actID,tituloNormalizado_CORDIS,tituloNormalizado_RP,Reference,projectID,num_palabras_titulo_CORDIS,num_palabras_titulo_RP,objective_x,objective_y
act562587,simulating the effects of lowcarbon investments in electricity markets,lowcarboninvestment	 simulating the effects of lowcarbon investments in electricity markets,101123298,101123298,9,10,"NextENERGEIA plans to develop and test a proof-of-concept prototype of an analytical tool for simulating the social and private impact on power markets of low-carbon investments (renewable energies, energy storage, electric vehicles, and hydrogen production). The tool would shed light on issues central to the energy transition’s success, making it precious for regulators, policymakers, energy-intensive consumers, and energy firms. In particular, the tool would be instrumental in informing the current policy debate on the electricity market reform. The tool would build on state-of-the-art game-theoretical models developed by the PI through her ERC Consolidator Grant ELECTRIC CHALLENGES, providing the basis to simulate firms’ competitive and strategic behavior in electricity markets with large shares of renewable energies and energy storage. Those models also serve to assess the low-carbon investments’ impact on several metrics reflecting electricity market outcomes (prices, market shares, emissions, etc.) and firms’ financial profitability (pay-back period, NPV, IRR, etc.) The algorithm would be programmed in Python, and an internet-based interface would be developed for ease of use. Data from the Spanish electricity market would be used to test the tool, which would be further extended to other European power markets. Relevant stakeholders in the sector have already shown their support and willingness to participate in the training and testing stages. The team comprises the PI (Natalia Fabra), postdocs at EnergyEcoLab (the research lab she created under her ERC grant), and software programmers who would carry out the programming activities. The team combines a deep knowledge of the power sector and the energy transition policies, a deep understanding of the relevant economic questions, and a deep command of the methods for modeling and quantifying the performance of electricity markets.","NextENERGEIA plans to develop and test a proof-of-concept prototype of an analytical tool for simulating the social and private impact on power markets of low-carbon investments (renewable energies, energy storage, electric vehicles, and hydrogen production). The tool would shed light on issues central to the energy transition’s success, making it precious for regulators, policymakers, energy-intensive consumers, and energy firms. In particular, the tool would be instrumental in informing the current policy debate on the electricity market reform. The tool would build on state-of-the-art game-theoretical models developed by the PI through her ERC Consolidator Grant ELECTRIC CHALLENGES, providing the basis to simulate firms’ competitive and strategic behavior in electricity markets with large shares of renewable energies and energy storage. Those models also serve to assess the low-carbon investments’ impact on several metrics reflecting electricity market outcomes (prices, market shares, emissions, etc.) and firms’ financial profitability (pay-back period, NPV, IRR, etc.) The algorithm would be programmed in Python, and an internet-based interface would be developed for ease of use. Data from the Spanish electricity market would be used to test the tool, which would be further extended to other European power markets. Relevant stakeholders in the sector have already shown their support and willingness to participate in the training and testing stages. The team comprises the PI (Natalia Fabra), postdocs at EnergyEcoLab (the research lab she created under her ERC grant), and software programmers who would carry out the programming activities. The team combines a deep knowledge of the power sector and the energy transition policies, a deep understanding of the relevant economic questions, and a deep command of the methods for modeling and quantifying the performance of electricity markets."
act540051,macroeconomics and financial history,macrohist  macroeconomics and financial history,PITN-GA-2013-608129,608129,4,5,"The current macroeconomic and financial crisis has given rise to a vigorous debate about the state of macroeconomics and macroeconomic training. Among the voices arguing most strongly for a change in the way that young macroeconomists are trained are those coming from employers in the private and public sector. Strikingly, many employers are also arguing that a knowledge of economic history might be particularly useful.  A knowledge of economic and financial history is crucial in thinking about macroeconomic problems and the financial sector in several ways. It forces students to recognize that major discontinuities in economic performance and economic policy regimes have occurred many times in the past, and may therefore occur again in the future. Additionally, economic history teaches students the importance of context. Finally, exposure to economic history leads to an empirical frame of mind, and a willingness to admit that one’s preferred theoretical framework may not always work in explaining the real world. These are essential habits for young economists wishing to apply their skills in the work environment. Young macroeconomists need training in economic and financial history. Equally, students of economic history need exposure to the techniques of modern macroeconomics and financial economics. MACROHIST brings together some of the strongest history, economic history and economics departments in Europe. Its aim is to expose young macroeconomists to the most recent work in macroeconomic and financial history; young economic historians to the most recent techniques in financial and macroeconomics, and both groups to the policy and work environment. We will achieve these aims by funding research on macroeconomics and macroeconomic and financial history; by funding visiting studentships for ESRs in partner institutions; by organising internships and other activities with our private sector partners; and by arranging network-wide research and training events.","The current macroeconomic and financial crisis has given rise to a vigorous debate about the state of macroeconomics and macroeconomic training. Among the voices arguing most strongly for a change in the way that young macroeconomists are trained are those coming from employers in the private and public sector. Strikingly, many employers are also arguing that a knowledge of economic history might be particularly useful.  A knowledge of economic and financial history is crucial in thinking about macroeconomic problems and the financial sector in several ways. It forces students to recognize that major discontinuities in economic performance and economic policy regimes have occurred many times in the past, and may therefore occur again in the future. Additionally, economic history teaches students the importance of context. Finally, exposure to economic history leads to an empirical frame of mind, and a willingness to admit that one’s preferred theoretical framework may not always work in explaining the real world. These are essential habits for young economists wishing to apply their skills in the work environment. Young macroeconomists need training in economic and financial history. Equally, students of economic history need exposure to the techniques of modern macroeconomics and financial economics. MACROHIST brings together some of the strongest history, economic history and economics departments in Europe. Its aim is to expose young macroeconomists to the most recent work in macroeconomic and financial history; young economic historians to the most recent techniques in financial and macroeconomics, and both groups to the policy and work environment. We will achieve these aims by funding research on macroeconomics and macroeconomic and financial history; by funding visiting studentships for ESRs in partner institutions; by organising internships and other activities with our private sector partners; and by arranging network-wide research and training events."
act552578,impact test campaign,aercost  5613 innovative pr  impact test campaign 2022,,278368,3,8,"""IMPTEST involves a campaign for gas gun impact testing of shielding materials for protection of aircraft against small fragments generated by failure of rotating engine components. The test campaign includes three phases, where Phase 1 involves normal impact to find the ballistic limit velocity of metallic shields and three different composite shield concepts, using three different impactors at velocities below 600 m/s. Phase 2 involves studies of the influence of impact angle and higher velocities etc for the two selected design concepts, while Phase 3 will study the influence of material aging for the selected shield concepts. Furthermore, fibre bundle tests will be performed at -40C and +120C, and the results will be used in impact simulations to study the influence of temperature. High speed photography will be used to record the impact response history of all specimens. In addition strain and load histories will be recorded for selected specimens. The damage in all specimens will be characterised quantitatively and qualitatively using various fractographic methods, e.g. C-scan.""","""IMPTEST involves a campaign for gas gun impact testing of shielding materials for protection of aircraft against small fragments generated by failure of rotating engine components. The test campaign includes three phases, where Phase 1 involves normal impact to find the ballistic limit velocity of metallic shields and three different composite shield concepts, using three different impactors at velocities below 600 m/s. Phase 2 involves studies of the influence of impact angle and higher velocities etc for the two selected design concepts, while Phase 3 will study the influence of material aging for the selected shield concepts. Furthermore, fibre bundle tests will be performed at -40C and +120C, and the results will be used in impact simulations to study the influence of temperature. High speed photography will be used to record the impact response history of all specimens. In addition strain and load histories will be recorded for selected specimens. The damage in all specimens will be characterised quantitatively and qualitatively using various fractographic methods, e.g. C-scan."""
act559742,artificial neural networks for the prediction of contrails and aviation induced cloudiness,econtrail  artificial neural networks for the prediction of contrails and aviation induced cloudiness,101114795,101114795,12,13,"Contrails and aviation-induced cloudiness effects on climate change show large uncertainties since they are subject to meteorological, regional, and seasonal variations. Indeed, under some specific circumstances, aircraft can generate anthropogenic cirrus with cooling. Thus, the need for research into contrails and aviation-induced cloudiness and its associated uncertainties to be considered in aviation climate mitigation actions becomes unquestionable.We will blend cutting-edge AI techniques (deep learning) and climate science with application to the aviation domain, aiming at closing (at least partially) de existing gap in terms of understanding aviation-induced climate impact. The overall purpose of E-CONTRAIL project is to develop artificial neural networks (leveraging remote sensing detection methods) for the prediction of the climate impact derived from contrails and aviation-induced cloudiness, contributing, thus, to a better understanding of the non-CO2 impact of aviation on global warming and reducing their associated uncertainties as essential steps towards green aviation. Specifically, the objectives of E-CONTRAIL are:O-1 to develop remote sensing algorithms for the detection of contrails and aviation-induced cloudiness.O-2 to quantify the radiative forcing of ice clouds based on remote sensing and radiative transfer methods.O-3 to use of deep learning architectures to generate AI models capable of predicting the radiative forcing of contrails based on data-archive numerical weather forecasts and historical trafficO-4 to assess the climate impact and develop a visualization tool in a dashboardUpon successful achievement of the objectives described above, we ambition to provide aviation stakeholders with an early and accurate (thus, reducing the associated uncertainty) prediction of those volumes of airspace with the conditions for large global warming impact due to contrails and aviation-induced cloudiness.","Contrails and aviation-induced cloudiness effects on climate change show large uncertainties since they are subject to meteorological, regional, and seasonal variations. Indeed, under some specific circumstances, aircraft can generate anthropogenic cirrus with cooling. Thus, the need for research into contrails and aviation-induced cloudiness and its associated uncertainties to be considered in aviation climate mitigation actions becomes unquestionable.We will blend cutting-edge AI techniques (deep learning) and climate science with application to the aviation domain, aiming at closing (at least partially) de existing gap in terms of understanding aviation-induced climate impact. The overall purpose of E-CONTRAIL project is to develop artificial neural networks (leveraging remote sensing detection methods) for the prediction of the climate impact derived from contrails and aviation-induced cloudiness, contributing, thus, to a better understanding of the non-CO2 impact of aviation on global warming and reducing their associated uncertainties as essential steps towards green aviation. Specifically, the objectives of E-CONTRAIL are:O-1 to develop remote sensing algorithms for the detection of contrails and aviation-induced cloudiness.O-2 to quantify the radiative forcing of ice clouds based on remote sensing and radiative transfer methods.O-3 to use of deep learning architectures to generate AI models capable of predicting the radiative forcing of contrails based on data-archive numerical weather forecasts and historical trafficO-4 to assess the climate impact and develop a visualization tool in a dashboardUpon successful achievement of the objectives described above, we ambition to provide aviation stakeholders with an early and accurate (thus, reducing the associated uncertainty) prediction of those volumes of airspace with the conditions for large global warming impact due to contrails and aviation-induced cloudiness."
act544458,modelbased preclinical development of antituberculosis drug combinations,predicttbmodelbased preclinical development of antituberculosis drug combinations,GA-115337,115337,7,7,"Drug development in TB requires new integrated methods to transition the novel combination regimens needed to shorten first-line therapy and combat multi-drug resistance. Although new agents are emerging, the path to registration of such regimens remains uncertain while capacity for pivotal trials is limited. Selection and optimization of drug combinations for development depends on preclinical systems which do not capture in vivo pharmacodynamics of heterogeneous states of M.tuberculosis.These systems are diverse and their predictive power for clinical trial outcomes is uncertain, escalating risks during development. To overcome these bottlenecks, PreDiCT-TB will take a comprehensive model based approach, synthesizing and integrating preclinical and clinical information. We will harness innovative technologies to develop an integrated set of predictive pre-clinical tools to facilitate selection of the best drug combinations and dosages for entry into optimized clinical studies. We will develop diverse existing and innovative experimental models of pharmacodynamics from extracellular MTB organisms, through to acute and chronic animal models in different species. We will enhance these systems using innovative single cell and functional imaging, novel mycobacteriological approaches and identification of biomarkers of lethality and sterilization. We will represent these critical data using multi-scale mathematical approaches incorporating PK-PD and disease models, supported by a translational data integration platform.The aim is an optimized decision pathway for combination regimens to progress to innovative early clinical trials. We will develop this modelling framework using a training set of reference compounds and subsequently update it with emerging data from new compounds. We believe that this comprehensive approach is the only way to overcome existing gaps in translation and create an effective and rapid drug development strategy for European researchers.","Drug development in TB requires new integrated methods to transition the novel combination regimens needed to shorten first-line therapy and combat multi-drug resistance. Although new agents are emerging, the path to registration of such regimens remains uncertain while capacity for pivotal trials is limited. Selection and optimization of drug combinations for development depends on preclinical systems which do not capture in vivo pharmacodynamics of heterogeneous states of M.tuberculosis.These systems are diverse and their predictive power for clinical trial outcomes is uncertain, escalating risks during development. To overcome these bottlenecks, PreDiCT-TB will take a comprehensive model based approach, synthesizing and integrating preclinical and clinical information. We will harness innovative technologies to develop an integrated set of predictive pre-clinical tools to facilitate selection of the best drug combinations and dosages for entry into optimized clinical studies. We will develop diverse existing and innovative experimental models of pharmacodynamics from extracellular MTB organisms, through to acute and chronic animal models in different species. We will enhance these systems using innovative single cell and functional imaging, novel mycobacteriological approaches and identification of biomarkers of lethality and sterilization. We will represent these critical data using multi-scale mathematical approaches incorporating PK-PD and disease models, supported by a translational data integration platform.The aim is an optimized decision pathway for combination regimens to progress to innovative early clinical trials. We will develop this modelling framework using a training set of reference compounds and subsequently update it with emerging data from new compounds. We believe that this comprehensive approach is the only way to overcome existing gaps in translation and create an effective and rapid drug development strategy for European researchers."
act544679,pimcity building the next generation personal data platforms,pimcity building the next generation personal data platforms,GA-871370,871370,8,8,"The Web economy has been revolutionized by unprecedented possibility of collecting massive amounts of user personal data, which lead the web to become the largest data market and created the biggest companies in our history. Unfortunately, this change has deep consequences for users, who, deprived of any negotiation power, are compelled to blindly provide their data for free access to services. Data collection is opaque, fragmented and disharmonic, so that users have no control over their personal data, and, thus, on their privacy. Personal Information Management Systems (PIMS) aim to give users back control over their data, while creating transparency in the market. However, so far, they have failed to reach business maturity and sizeable user bases.PIMCity offers tools to change this scenario. First, we implement a PIMS development kit (PDK) to commoditize the complexity of creating PIMS. This lowers the barriers for companies and SME to enter the web data market. Second, we design and deploy novel mechanisms to increase users' awareness: (i) the Transparency Tags (TT) show users essential information about the services they access, in a simple and easy to understand manner; (ii) the Personal Data Avatar (PDA) is an intuitive means for users to control the information shared to third parties. Third, we demonstrate the effectiveness of the above tools by engineering EasyPIMS, our fully-fledged PIMS. We commit to build the largest-ever transparent data marketplace implementing and demonstrating EasyPIMS with hundreds of thousands of end-users, collaborating with advertisers and operators in the web market.We strongly believe that an open market for data will only flourish if we stop the arms race between users and services. For this, we involve advertisers and end-users in the whole process. PIMCity has all these players in our consortium, along with leading IT companies and data providers, renowned research centres and universities, and SMEs already in the market of PIMS.","The Web economy has been revolutionized by unprecedented possibility of collecting massive amounts of user personal data, which lead the web to become the largest data market and created the biggest companies in our history. Unfortunately, this change has deep consequences for users, who, deprived of any negotiation power, are compelled to blindly provide their data for free access to services. Data collection is opaque, fragmented and disharmonic, so that users have no control over their personal data, and, thus, on their privacy. Personal Information Management Systems (PIMS) aim to give users back control over their data, while creating transparency in the market. However, so far, they have failed to reach business maturity and sizeable user bases.PIMCity offers tools to change this scenario. First, we implement a PIMS development kit (PDK) to commoditize the complexity of creating PIMS. This lowers the barriers for companies and SME to enter the web data market. Second, we design and deploy novel mechanisms to increase users' awareness: (i) the Transparency Tags (TT) show users essential information about the services they access, in a simple and easy to understand manner; (ii) the Personal Data Avatar (PDA) is an intuitive means for users to control the information shared to third parties. Third, we demonstrate the effectiveness of the above tools by engineering EasyPIMS, our fully-fledged PIMS. We commit to build the largest-ever transparent data marketplace implementing and demonstrating EasyPIMS with hundreds of thousands of end-users, collaborating with advertisers and operators in the web market.We strongly believe that an open market for data will only flourish if we stop the arms race between users and services. For this, we involve advertisers and end-users in the whole process. PIMCity has all these players in our consortium, along with leading IT companies and data providers, renowned research centres and universities, and SMEs already in the market of PIMS."
act556171,terahertz integrated systems enabling 6g terabitpersecond ultramassive mimo wireless networks,tera6g terahertz integrated systems enabling 6g terabitpersecond ultramassive mimo wireless networks,101096949,101096949,10,11,"TERA6G aims at developing disruptive photonic wireless transceivers enabling Terabit-per-second data throughput capacity and massive Multiple-Input/Multiple-Output multi-antenna techniques operating in the millimeter-wave (30 GHz to 300 GHz) and Terahertz (300 GHz to 3 THz) bands of the spectrum, unlocking the “Fiber-over-the-Air” concept. The concept uses  independently steerable wireless pencil-beams with fiber data throughput capacity, allowing mobile site connectivity scenarios in dense urban areas with macro/street level densification, temporal mobile site connectivity in ad-hoc networks, and connectivity to moving objects in public or private networks.Hybrid photonic integration is the key enabler technology to develop a Blass-Matrix Transmitter and an incoherent-multi-band Receiver with key disruptive characteristics, including agility (handling any modulation scheme and continuous tuning of the carrier frequency across the target spectrum range), scalability (handling large number of beams with 2-dimensional antenna arrays for beamformed antenna gain >25 dBi and > 100º steering angles beam-steering) and reconfigurability (performing a variety of functions, from wireless data transmission, or radar ranging to channel sounding).These disruptive wireless transceiver modules characteristics will be exploited at network level by developing the dynamic allocation of the network resources that these bring. We plan to dynamically analyze the position of the different wireless nodes and the channel resources using respectively the radar ranging and channel sounding techniques enabled by the novel reconfigurable TERA6G photonic transceivers. This will allow for novel scheduling methods capable of alternating paths to establish the connectivity, ensuring connection reliability, and considering energy consumption in the establishment of the wireless link. TERA6G is the crossroad of previous H2020 projects TERAWAY, ARIADNE, TERRANOVA and FUDGE-5G.","TERA6G aims at developing disruptive photonic wireless transceivers enabling Terabit-per-second data throughput capacity and massive Multiple-Input/Multiple-Output multi-antenna techniques operating in the millimeter-wave (30 GHz to 300 GHz) and Terahertz (300 GHz to 3 THz) bands of the spectrum, unlocking the “Fiber-over-the-Air” concept. The concept uses  independently steerable wireless pencil-beams with fiber data throughput capacity, allowing mobile site connectivity scenarios in dense urban areas with macro/street level densification, temporal mobile site connectivity in ad-hoc networks, and connectivity to moving objects in public or private networks.Hybrid photonic integration is the key enabler technology to develop a Blass-Matrix Transmitter and an incoherent-multi-band Receiver with key disruptive characteristics, including agility (handling any modulation scheme and continuous tuning of the carrier frequency across the target spectrum range), scalability (handling large number of beams with 2-dimensional antenna arrays for beamformed antenna gain >25 dBi and > 100º steering angles beam-steering) and reconfigurability (performing a variety of functions, from wireless data transmission, or radar ranging to channel sounding).These disruptive wireless transceiver modules characteristics will be exploited at network level by developing the dynamic allocation of the network resources that these bring. We plan to dynamically analyze the position of the different wireless nodes and the channel resources using respectively the radar ranging and channel sounding techniques enabled by the novel reconfigurable TERA6G photonic transceivers. This will allow for novel scheduling methods capable of alternating paths to establish the connectivity, ensuring connection reliability, and considering energy consumption in the establishment of the wireless link. TERA6G is the crossroad of previous H2020 projects TERAWAY, ARIADNE, TERRANOVA and FUDGE-5G."
act544515,robotic system with intelligent vision and control for tunnel structural inspection and evaluation,robospect robotic system with intelligent vision and control for tunnel structural inspection and evaluation,GA 611145,611145,13,14,"The latest developments in robotics and the associated fields of computer vision and sensors open the floor for automated robotic solutions, exploitable in the near to medium term in the field of inspection of the civil infrastructure in general and transportation tunnel infrastructure in particular. The latter infrastructure is ageing urgently requiring inspection and assessment. Presently, inspection is mostly performed through tunnel wide visual observations by inspectors. This process is slow, labour intensive, expensive, subjective and often requiring lane shutdown during inspection at a time of limited budgets and inspector resources and heightened requirements for safety and maximum tunnel uptime. ROBINSPECT, driven by the tunnel inspection industry, adapts and integrates recent research results in intelligent control in robotics, computer vision tailored with semi-supervised  and active continuous learning and sensing, in an innovative, integrated, robotic system that automatically scans the intrados for potential defects on the surface and detects and measures radial deformation in the cross-section, distance between parallel cracks, cracks and open joints that impact tunnel stability, with mm accuracies. This permits, in one pass, both the inspection and structural assessment of tunnels. Intelligent control and robotics tools are interwoven to set an automatic robotic arm manipulation and an autonomous vehicle navigation so as to minimize humans' interaction. This way, the structural condition and safety of a tunnel is assessed automatically, reliably and speedily. The initial dataset on tunnel defects is provided from case studies (e.g., from London Underground) to be used not only for transfer learning but also for the evaluation of the structural models. The robotic system is evaluated and benchmarked at the research infrastructure of tunnels of VSH, at three road tunnels of the Egnatia Motorway and sections of the railway tunnel of London Post Office.","The latest developments in robotics and the associated fields of computer vision and sensors open the floor for automated robotic solutions, exploitable in the near to medium term in the field of inspection of the civil infrastructure in general and transportation tunnel infrastructure in particular. The latter infrastructure is ageing urgently requiring inspection and assessment. Presently, inspection is mostly performed through tunnel wide visual observations by inspectors. This process is slow, labour intensive, expensive, subjective and often requiring lane shutdown during inspection at a time of limited budgets and inspector resources and heightened requirements for safety and maximum tunnel uptime. ROBINSPECT, driven by the tunnel inspection industry, adapts and integrates recent research results in intelligent control in robotics, computer vision tailored with semi-supervised  and active continuous learning and sensing, in an innovative, integrated, robotic system that automatically scans the intrados for potential defects on the surface and detects and measures radial deformation in the cross-section, distance between parallel cracks, cracks and open joints that impact tunnel stability, with mm accuracies. This permits, in one pass, both the inspection and structural assessment of tunnels. Intelligent control and robotics tools are interwoven to set an automatic robotic arm manipulation and an autonomous vehicle navigation so as to minimize humans' interaction. This way, the structural condition and safety of a tunnel is assessed automatically, reliably and speedily. The initial dataset on tunnel defects is provided from case studies (e.g., from London Underground) to be used not only for transfer learning but also for the evaluation of the structural models. The robotic system is evaluated and benchmarked at the research infrastructure of tunnels of VSH, at three road tunnels of the Egnatia Motorway and sections of the railway tunnel of London Post Office."
act561920,programmable reconfigurable optical transport for efficiently offering unconstrained services in 6g,proteus6g  programmable reconfigurable optical transport for efficiently offering unconstrained services in 6g,101139134,101139134,11,12,"PROTEUS-6G focuses on the development of advanced packet-optical x-haul networking infrastructure, relying on novel software-programmable photonic-integrated-circuit based subsystems operated under an intelligent software management system, capable of simplifying and optimizing network operations and supporting future ultra-high capacity, low-latency and energy-efficient 6G cellular and cell-free MIMO radio access networks.The targeted innovations will enable efficient utilisation of packet and optical resources (spectral subcarriers and spatial lanes), realizing the vision of flexible functional splits (FFSs), adapting the fronthaul, under dynamically customizable operational conditions, to the network demands, for varying distribution of users, traffic demands and use-cases.To implement the 6G optical-enabled radio-access network, the consortium will develop ultra-low energy (low-pJ/bit), ultra-high capacity (0.8 Tb/s) and fast-reconfigurable (sub-ms) software-programmable solutions (i.e. transceivers, multiplexers and fast optical switches integrating tuneable lasers/filters) based on novel photonic processing/switching schemes, to be reconfigured by an intelligent control plane optimizing the utilization of resources across the front-/mid-/back-haul continuum and reducing unnecessary opto-electronic transitions, thus collectively improving performance while minimizing the environmental impact.The PROTEUS-6G consortium covers the entire value-chain of industry/academia organizations focusing on implementing wireless-optical connectivity solutions. The participating experts possess demonstrated expertise re delivering on their promises as indicated by their research track record and exploitation activities towards commercialization of new products and contributions to standards. Their collective development of the targeted innovations is going to reenforce the European leadership in 6G networks thus paving the way for prosperity of Europe’s economy and society.","PROTEUS-6G focuses on the development of advanced packet-optical x-haul networking infrastructure, relying on novel software-programmable photonic-integrated-circuit based subsystems operated under an intelligent software management system, capable of simplifying and optimizing network operations and supporting future ultra-high capacity, low-latency and energy-efficient 6G cellular and cell-free MIMO radio access networks.The targeted innovations will enable efficient utilisation of packet and optical resources (spectral subcarriers and spatial lanes), realizing the vision of flexible functional splits (FFSs), adapting the fronthaul, under dynamically customizable operational conditions, to the network demands, for varying distribution of users, traffic demands and use-cases.To implement the 6G optical-enabled radio-access network, the consortium will develop ultra-low energy (low-pJ/bit), ultra-high capacity (0.8 Tb/s) and fast-reconfigurable (sub-ms) software-programmable solutions (i.e. transceivers, multiplexers and fast optical switches integrating tuneable lasers/filters) based on novel photonic processing/switching schemes, to be reconfigured by an intelligent control plane optimizing the utilization of resources across the front-/mid-/back-haul continuum and reducing unnecessary opto-electronic transitions, thus collectively improving performance while minimizing the environmental impact.The PROTEUS-6G consortium covers the entire value-chain of industry/academia organizations focusing on implementing wireless-optical connectivity solutions. The participating experts possess demonstrated expertise re delivering on their promises as indicated by their research track record and exploitation activities towards commercialization of new products and contributions to standards. Their collective development of the targeted innovations is going to reenforce the European leadership in 6G networks thus paving the way for prosperity of Europe’s economy and society."
act554109,towards competitive reliable safe and sustainable concentrated solar power csp plants,topcsp  towards competitive reliable safe and sustainable concentrated solar power csp plants,101072537,101072537,11,12,"This training project (TOPCSP) will offer 10 promising doctoral candidates a unique international, intersectoral and interdisciplinary research and innovation framework that will boost their excellence in the development of innovative technologies capable of solving the challenges currently faced by the solar thermal power industry in the EU and worldwide. Concentrating Solar Power (CSP) with Thermal Energy Storage (TES) is a key technology to support the transition to a competitive and sustainable energy system. However, an effort is needed to make this technology competitive by increasing its efficiency, reducing its costs and improving its reliability and environmental profile. TOPCSP project will include research activities aimed at reducing the cost of current CSP plant, increasing the temperature of the heat transfer media of the next generation of CSP plants, developing more efficient power blocks and optimizing the plant design. CSP research requires high-level human resources covering a wide range of competences. TOPCSP will be able to train researchers with the technical knowledge and transferable skills needed to contribute to this aim from either the academic or the industrial sector. The consortium of this proposal will provide balanced scientific and applied skills together with the global vision of the CSP industry that will maximize the employability of the trained researchers. The consortium comprises 8 academic beneficiaries with a long record of research on CSP and two industrial beneficiaries, which are leading companies in the sector. The associated partners of the network include the largest R&D & test centre focused on CSP in Europe, high-tech companies specialized in the different subsystems of the CSP plant, an agency for new technologies, energy and sustainable development, and a training company specialized in R&I project development and management.","This training project (TOPCSP) will offer 10 promising doctoral candidates a unique international, intersectoral and interdisciplinary research and innovation framework that will boost their excellence in the development of innovative technologies capable of solving the challenges currently faced by the solar thermal power industry in the EU and worldwide. Concentrating Solar Power (CSP) with Thermal Energy Storage (TES) is a key technology to support the transition to a competitive and sustainable energy system. However, an effort is needed to make this technology competitive by increasing its efficiency, reducing its costs and improving its reliability and environmental profile. TOPCSP project will include research activities aimed at reducing the cost of current CSP plant, increasing the temperature of the heat transfer media of the next generation of CSP plants, developing more efficient power blocks and optimizing the plant design. CSP research requires high-level human resources covering a wide range of competences. TOPCSP will be able to train researchers with the technical knowledge and transferable skills needed to contribute to this aim from either the academic or the industrial sector. The consortium of this proposal will provide balanced scientific and applied skills together with the global vision of the CSP industry that will maximize the employability of the trained researchers. The consortium comprises 8 academic beneficiaries with a long record of research on CSP and two industrial beneficiaries, which are leading companies in the sector. The associated partners of the network include the largest R&D & test centre focused on CSP in Europe, high-tech companies specialized in the different subsystems of the CSP plant, an agency for new technologies, energy and sustainable development, and a training company specialized in R&I project development and management."
