actID,Title,StartYear,EndYear,Funding_Entity,Reference,Type,Keywords,objective,projectID
act562587,LOWCARBON_INVESTMENT	- Simulating the effects of low-carbon investments in electricity markets,2024.0,2025.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101123298,European Research Project,,"NextENERGEIA plans to develop and test a proof-of-concept prototype of an analytical tool for simulating the social and private impact on power markets of low-carbon investments (renewable energies, energy storage, electric vehicles, and hydrogen production). The tool would shed light on issues central to the energy transition’s success, making it precious for regulators, policymakers, energy-intensive consumers, and energy firms. In particular, the tool would be instrumental in informing the current policy debate on the electricity market reform. The tool would build on state-of-the-art game-theoretical models developed by the PI through her ERC Consolidator Grant ELECTRIC CHALLENGES, providing the basis to simulate firms’ competitive and strategic behavior in electricity markets with large shares of renewable energies and energy storage. Those models also serve to assess the low-carbon investments’ impact on several metrics reflecting electricity market outcomes (prices, market shares, emissions, etc.) and firms’ financial profitability (pay-back period, NPV, IRR, etc.) The algorithm would be programmed in Python, and an internet-based interface would be developed for ease of use. Data from the Spanish electricity market would be used to test the tool, which would be further extended to other European power markets. Relevant stakeholders in the sector have already shown their support and willingness to participate in the training and testing stages. The team comprises the PI (Natalia Fabra), postdocs at EnergyEcoLab (the research lab she created under her ERC grant), and software programmers who would carry out the programming activities. The team combines a deep knowledge of the power sector and the energy transition policies, a deep understanding of the relevant economic questions, and a deep command of the methods for modeling and quantifying the performance of electricity markets.",101123298
act540051,MACROHIST - Macroeconomics and Financial History,2013.0,2017.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,PITN-GA-2013-608129,European Research Project,,"The current macroeconomic and financial crisis has given rise to a vigorous debate about the state of macroeconomics and macroeconomic training. Among the voices arguing most strongly for a change in the way that young macroeconomists are trained are those coming from employers in the private and public sector. Strikingly, many employers are also arguing that a knowledge of economic history might be particularly useful.  A knowledge of economic and financial history is crucial in thinking about macroeconomic problems and the financial sector in several ways. It forces students to recognize that major discontinuities in economic performance and economic policy regimes have occurred many times in the past, and may therefore occur again in the future. Additionally, economic history teaches students the importance of context. Finally, exposure to economic history leads to an empirical frame of mind, and a willingness to admit that one’s preferred theoretical framework may not always work in explaining the real world. These are essential habits for young economists wishing to apply their skills in the work environment. Young macroeconomists need training in economic and financial history. Equally, students of economic history need exposure to the techniques of modern macroeconomics and financial economics. MACROHIST brings together some of the strongest history, economic history and economics departments in Europe. Its aim is to expose young macroeconomists to the most recent work in macroeconomic and financial history; young economic historians to the most recent techniques in financial and macroeconomics, and both groups to the policy and work environment. We will achieve these aims by funding research on macroeconomics and macroeconomic and financial history; by funding visiting studentships for ESRs in partner institutions; by organising internships and other activities with our private sector partners; and by arranging network-wide research and training events.",608129
act552578,AERCOST - 5613 Innovative PR - Impact test campaign 2022,2022.0,2022.0,"AIRBUS OPERATIONS, S.L.",,R+D Contract,['impacto; protecciones; velocidad de deformación'],"""IMPTEST involves a campaign for gas gun impact testing of shielding materials for protection of aircraft against small fragments generated by failure of rotating engine components. The test campaign includes three phases, where Phase 1 involves normal impact to find the ballistic limit velocity of metallic shields and three different composite shield concepts, using three different impactors at velocities below 600 m/s. Phase 2 involves studies of the influence of impact angle and higher velocities etc for the two selected design concepts, while Phase 3 will study the influence of material aging for the selected shield concepts. Furthermore, fibre bundle tests will be performed at -40C and +120C, and the results will be used in impact simulations to study the influence of temperature. High speed photography will be used to record the impact response history of all specimens. In addition strain and load histories will be recorded for selected specimens. The damage in all specimens will be characterised quantitatively and qualitatively using various fractographic methods, e.g. C-scan.""",278368
act559742,ECONTRAIL - Artificial Neural Networks for the Prediction of Contrails and Aviation Induced Cloudiness,2023.0,2025.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101114795,European Research Project,,"Contrails and aviation-induced cloudiness effects on climate change show large uncertainties since they are subject to meteorological, regional, and seasonal variations. Indeed, under some specific circumstances, aircraft can generate anthropogenic cirrus with cooling. Thus, the need for research into contrails and aviation-induced cloudiness and its associated uncertainties to be considered in aviation climate mitigation actions becomes unquestionable.We will blend cutting-edge AI techniques (deep learning) and climate science with application to the aviation domain, aiming at closing (at least partially) de existing gap in terms of understanding aviation-induced climate impact. The overall purpose of E-CONTRAIL project is to develop artificial neural networks (leveraging remote sensing detection methods) for the prediction of the climate impact derived from contrails and aviation-induced cloudiness, contributing, thus, to a better understanding of the non-CO2 impact of aviation on global warming and reducing their associated uncertainties as essential steps towards green aviation. Specifically, the objectives of E-CONTRAIL are:O-1 to develop remote sensing algorithms for the detection of contrails and aviation-induced cloudiness.O-2 to quantify the radiative forcing of ice clouds based on remote sensing and radiative transfer methods.O-3 to use of deep learning architectures to generate AI models capable of predicting the radiative forcing of contrails based on data-archive numerical weather forecasts and historical trafficO-4 to assess the climate impact and develop a visualization tool in a dashboardUpon successful achievement of the objectives described above, we ambition to provide aviation stakeholders with an early and accurate (thus, reducing the associated uncertainty) prediction of those volumes of airspace with the conditions for large global warming impact due to contrails and aviation-induced cloudiness.",101114795
act544458,PreDict-TB:Model-based preclinical development of anti-tuberculosis drug combinations,2012.0,2017.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA-115337,European Research Project,,"Drug development in TB requires new integrated methods to transition the novel combination regimens needed to shorten first-line therapy and combat multi-drug resistance. Although new agents are emerging, the path to registration of such regimens remains uncertain while capacity for pivotal trials is limited. Selection and optimization of drug combinations for development depends on preclinical systems which do not capture in vivo pharmacodynamics of heterogeneous states of M.tuberculosis.These systems are diverse and their predictive power for clinical trial outcomes is uncertain, escalating risks during development. To overcome these bottlenecks, PreDiCT-TB will take a comprehensive model based approach, synthesizing and integrating preclinical and clinical information. We will harness innovative technologies to develop an integrated set of predictive pre-clinical tools to facilitate selection of the best drug combinations and dosages for entry into optimized clinical studies. We will develop diverse existing and innovative experimental models of pharmacodynamics from extracellular MTB organisms, through to acute and chronic animal models in different species. We will enhance these systems using innovative single cell and functional imaging, novel mycobacteriological approaches and identification of biomarkers of lethality and sterilization. We will represent these critical data using multi-scale mathematical approaches incorporating PK-PD and disease models, supported by a translational data integration platform.The aim is an optimized decision pathway for combination regimens to progress to innovative early clinical trials. We will develop this modelling framework using a training set of reference compounds and subsequently update it with emerging data from new compounds. We believe that this comprehensive approach is the only way to overcome existing gaps in translation and create an effective and rapid drug development strategy for European researchers.",115337
act544679,PIMCITY: Building the next generation personal data platforms,2019.0,2022.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA-871370,European Research Project,"['personal information management systems, personal data, artificial intelligence, digital advertising; privacy preserving analytics, data economy, data valuation']","The Web economy has been revolutionized by unprecedented possibility of collecting massive amounts of user personal data, which lead the web to become the largest data market and created the biggest companies in our history. Unfortunately, this change has deep consequences for users, who, deprived of any negotiation power, are compelled to blindly provide their data for free access to services. Data collection is opaque, fragmented and disharmonic, so that users have no control over their personal data, and, thus, on their privacy. Personal Information Management Systems (PIMS) aim to give users back control over their data, while creating transparency in the market. However, so far, they have failed to reach business maturity and sizeable user bases.PIMCity offers tools to change this scenario. First, we implement a PIMS development kit (PDK) to commoditize the complexity of creating PIMS. This lowers the barriers for companies and SME to enter the web data market. Second, we design and deploy novel mechanisms to increase users' awareness: (i) the Transparency Tags (TT) show users essential information about the services they access, in a simple and easy to understand manner; (ii) the Personal Data Avatar (PDA) is an intuitive means for users to control the information shared to third parties. Third, we demonstrate the effectiveness of the above tools by engineering EasyPIMS, our fully-fledged PIMS. We commit to build the largest-ever transparent data marketplace implementing and demonstrating EasyPIMS with hundreds of thousands of end-users, collaborating with advertisers and operators in the web market.We strongly believe that an open market for data will only flourish if we stop the arms race between users and services. For this, we involve advertisers and end-users in the whole process. PIMCity has all these players in our consortium, along with leading IT companies and data providers, renowned research centres and universities, and SMEs already in the market of PIMS.",871370
act538505,INFIERI: Intelligent Fast Interconnected and Efficient devices for Frontier Explotation in Research and Industry,2013.0,2017.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,317446,European Research Project,['phy; astrophysics; lhc; pet/mri; novel sipm techno; front end processing; level1 track trigger; high speed data transfer; massive parallel computing; through silicon vias; deep sub micron technology'],"We propose to establish a training network for the development of intelligent devices and tools for cutting-edge applications in Astrophysics, High Energy Physics, Medical Physics and Telecommunications. The network aims to develop new technologies and algorithms, with a common theme of placing intelligence into data-acquisition, processing and transmission technologies very close to the information source.  We consider three main applications: pixel detectors in the harsh radiation environment of CMS at LHC; novel SiPM devices for Positron Emission Tomography (PET) and an array of Cherenkov detectors spread over kilometers, forming a gamma-ray telescope (CTA). The chosen applications require extremely rapid “front-end” data processing, event selection, efficient transmission, and high-selectivityThe training programme is based on 5 technical work packages, focused on VDSM CMOS technology, 3D vertical interconnectivity, Silicon Photonics and Optical Wireless Communications, FPGA and CAM memories, and ACTA backplanes. The network comprises 5 academic nodes, 4 European Lab nodes, and 2 companies (Philips and THALES-SA) for a total of 11 full partners, all leading in their respective fields. Such a multi-disciplinary approach will provide unique opportunities for the career progression of the trainees and strengthen important research partnerships within Europe. International associated partners in Europe (CERN, and other leading companies), the USA (FNAL and companies) and Korea (Seoul University and Samsung) bring advanced and complementary technical capabilities. The combination of the technologies addressed promises to deliver dramatically increased performance in all application areas on the timescale of this project. The trained individuals will represent a highly valuable resource for European industry and academic research, helping to maintain European leadership in the forefront technologies addressed.",317446
act556171,TERA6G: TERAhertz integrated systems enabling 6G terabit-per-second ultra-massive MIMO wireless networks,2023.0,2026.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101096949,European Research Project,['communication engineering and systems telecommunications'],"TERA6G aims at developing disruptive photonic wireless transceivers enabling Terabit-per-second data throughput capacity and massive Multiple-Input/Multiple-Output multi-antenna techniques operating in the millimeter-wave (30 GHz to 300 GHz) and Terahertz (300 GHz to 3 THz) bands of the spectrum, unlocking the “Fiber-over-the-Air” concept. The concept uses  independently steerable wireless pencil-beams with fiber data throughput capacity, allowing mobile site connectivity scenarios in dense urban areas with macro/street level densification, temporal mobile site connectivity in ad-hoc networks, and connectivity to moving objects in public or private networks.Hybrid photonic integration is the key enabler technology to develop a Blass-Matrix Transmitter and an incoherent-multi-band Receiver with key disruptive characteristics, including agility (handling any modulation scheme and continuous tuning of the carrier frequency across the target spectrum range), scalability (handling large number of beams with 2-dimensional antenna arrays for beamformed antenna gain >25 dBi and > 100º steering angles beam-steering) and reconfigurability (performing a variety of functions, from wireless data transmission, or radar ranging to channel sounding).These disruptive wireless transceiver modules characteristics will be exploited at network level by developing the dynamic allocation of the network resources that these bring. We plan to dynamically analyze the position of the different wireless nodes and the channel resources using respectively the radar ranging and channel sounding techniques enabled by the novel reconfigurable TERA6G photonic transceivers. This will allow for novel scheduling methods capable of alternating paths to establish the connectivity, ensuring connection reliability, and considering energy consumption in the establishment of the wireless link. TERA6G is the crossroad of previous H2020 projects TERAWAY, ARIADNE, TERRANOVA and FUDGE-5G.",101096949
act544515,ROBO-SPECT: ROBotic System with Intelligent Vision and Control for Tunnel Structural INSPECTion and Evaluation,2013.0,2016.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA 611145,European Research Project,['integrated automated robotic system; intelligent control system; tunnel inspection'],"The latest developments in robotics and the associated fields of computer vision and sensors open the floor for automated robotic solutions, exploitable in the near to medium term in the field of inspection of the civil infrastructure in general and transportation tunnel infrastructure in particular. The latter infrastructure is ageing urgently requiring inspection and assessment. Presently, inspection is mostly performed through tunnel wide visual observations by inspectors. This process is slow, labour intensive, expensive, subjective and often requiring lane shutdown during inspection at a time of limited budgets and inspector resources and heightened requirements for safety and maximum tunnel uptime. ROBINSPECT, driven by the tunnel inspection industry, adapts and integrates recent research results in intelligent control in robotics, computer vision tailored with semi-supervised  and active continuous learning and sensing, in an innovative, integrated, robotic system that automatically scans the intrados for potential defects on the surface and detects and measures radial deformation in the cross-section, distance between parallel cracks, cracks and open joints that impact tunnel stability, with mm accuracies. This permits, in one pass, both the inspection and structural assessment of tunnels. Intelligent control and robotics tools are interwoven to set an automatic robotic arm manipulation and an autonomous vehicle navigation so as to minimize humans' interaction. This way, the structural condition and safety of a tunnel is assessed automatically, reliably and speedily. The initial dataset on tunnel defects is provided from case studies (e.g., from London Underground) to be used not only for transfer learning but also for the evaluation of the structural models. The robotic system is evaluated and benchmarked at the research infrastructure of tunnels of VSH, at three road tunnels of the Egnatia Motorway and sections of the railway tunnel of London Post Office.",611145
act544049,EUROFUSION-WP15_EDU: Investigación del efecto isotópico en transporte y turbulencia en. plasmas de fusión,2015.0,2016.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA-633053,European Research Project,,"A Roadmap to the realization of fusion energy was adopted by the EFDA system at the end of 2012. The roadmap aims at achieving all the necessary know-how to start the construction of a demonstration power plant (DEMO) by 2030, in order to reach the goal of fusion electricity in the grid by 2050. The roadmap has been articulated in eight different Missions. The present proposal has the goal of implementing the activities described in the Roadmap during Horizon 2020 through a joint programme of the members of the EUROfusion Consortium. ITER is the key facility in the roadmap. Thus, ITER success remains the most important overarching objective of the programme and, in the present proposal the vast majority of resources in Horizon 2020 are devoted to ensure that ITER is built within scope, time and budget; its operation is properly prepared; and a new generation of scientists and engineers is properly educated (at undergraduate and PhD level) and trained (at postdoctoral level) for its exploitation. DEMO is the only step between ITER and a commercial fusion power plant. To achieve the goal of fusion electricity demonstration by 2050, DEMO construction has to begin in the early 2030s at the latest, to allow the start of operation in the early 2040s. DEMO cannot be defined and designed by research laboratories alone, but requires the full involvement of industry in all technological and systems aspects of the design. Specific provisions for the involvement of industry in the Consortium activities are envisaged.",633053
